Time elapsed was 272452413861ns or 272.452413861s
Time elapsed was 272029497712ns or 272.029497712s
Time elapsed was 271527051256ns or 271.527051256s
Time elapsed was 271577584583ns or 271.577584583s
Time elapsed was 271887175317ns or 271.887175317s
Time elapsed was 271712881177ns or 271.712881177s
Time elapsed was 272128915955ns or 272.128915955s
Time elapsed was 271941354304ns or 271.941354304s
Time elapsed was 272360757212ns or 272.360757212s
Time elapsed was 272673528753ns or 272.673528753s
