Time elapsed was 514673145129ns or 514.673145129s
Time elapsed was 513781335311ns or 513.781335311s
Time elapsed was 513692259677ns or 513.692259677s
Time elapsed was 513901889216ns or 513.901889216s
Time elapsed was 515025785897ns or 515.025785897s
Time elapsed was 625292393113ns or 625.292393113s
Time elapsed was 692352053089ns or 692.352053089s
Time elapsed was 542272564131ns or 542.272564131s
Time elapsed was 514378445966ns or 514.378445966s
Time elapsed was 515098452599ns or 515.098452599s
